goos: linux
goarch: amd64
pkg: github.com/exergy-dev/go-topology-suite/buffer
cpu: Intel(R) Core(TM) i9-14900KF
BenchmarkBuffer/star/n=1024-32         	       7	 159050659 ns/op	64752272 B/op	  492227 allocs/op
BenchmarkBufferNegative-32             	      10	 105201260 ns/op	43619819 B/op	  317995 allocs/op
BenchmarkBufferNegative-32             	      10	 105400310 ns/op	43603569 B/op	  317993 allocs/op
BenchmarkBufferNegative-32             	      10	 106916029 ns/op	43620651 B/op	  317995 allocs/op
BenchmarkBufferNegative-32             	      10	 105721869 ns/op	43617944 B/op	  317995 allocs/op
BenchmarkBufferNegative-32             	      10	 104276258 ns/op	43649734 B/op	  317997 allocs/op
BenchmarkBufferNegative-32             	      10	 103991160 ns/op	43644929 B/op	  317997 allocs/op
BenchmarkBufferNegative-32             	      10	 104922087 ns/op	43671856 B/op	  317999 allocs/op
BenchmarkBufferNegative-32             	      10	 103880013 ns/op	43636928 B/op	  317997 allocs/op
BenchmarkBufferNegative-32             	      10	 103238836 ns/op	43634564 B/op	  317996 allocs/op
BenchmarkBufferNegative-32             	      10	 103107398 ns/op	43628737 B/op	  317996 allocs/op
BenchmarkOffsetCurve-32                	    2790	    439164 ns/op	  900466 B/op	      26 allocs/op
BenchmarkOffsetCurve-32                	    2847	    438833 ns/op	  900466 B/op	      26 allocs/op
BenchmarkOffsetCurve-32                	    2613	    450505 ns/op	  900467 B/op	      26 allocs/op
BenchmarkOffsetCurve-32                	    2802	    438566 ns/op	  900466 B/op	      26 allocs/op
BenchmarkOffsetCurve-32                	    2782	    432938 ns/op	  900466 B/op	      26 allocs/op
BenchmarkOffsetCurve-32                	    2641	    449138 ns/op	  900467 B/op	      26 allocs/op
BenchmarkOffsetCurve-32                	    2689	    442870 ns/op	  900467 B/op	      26 allocs/op
BenchmarkOffsetCurve-32                	    2923	    443445 ns/op	  900466 B/op	      26 allocs/op
BenchmarkOffsetCurve-32                	    2599	    448809 ns/op	  900467 B/op	      26 allocs/op
BenchmarkOffsetCurve-32                	    2683	    445669 ns/op	  900467 B/op	      26 allocs/op
PASS
ok  	github.com/exergy-dev/go-topology-suite/buffer	107.166s
goos: linux
goarch: amd64
pkg: github.com/exergy-dev/go-topology-suite/overlay
cpu: Intel(R) Core(TM) i9-14900KF
BenchmarkOverlayLargePolygons-32            	     537	   2205875 ns/op	 2014682 B/op	   11288 allocs/op
BenchmarkOverlayLargePolygons-32            	     535	   2216831 ns/op	 2014682 B/op	   11288 allocs/op
BenchmarkOverlayLargePolygons-32            	     542	   2233397 ns/op	 2014686 B/op	   11288 allocs/op
BenchmarkOverlayLargePolygons-32            	     552	   2221441 ns/op	 2014675 B/op	   11288 allocs/op
BenchmarkOverlayLargePolygons-32            	     552	   2193711 ns/op	 2014675 B/op	   11288 allocs/op
BenchmarkOverlayLargePolygons-32            	     544	   2178970 ns/op	 2014678 B/op	   11288 allocs/op
BenchmarkOverlayLargePolygons-32            	     536	   2202443 ns/op	 2014682 B/op	   11288 allocs/op
BenchmarkOverlayLargePolygons-32            	     543	   2203886 ns/op	 2014678 B/op	   11288 allocs/op
BenchmarkOverlayLargePolygons-32            	     565	   2234425 ns/op	 2014672 B/op	   11288 allocs/op
BenchmarkOverlayLargePolygons-32            	     534	   2244748 ns/op	 2014674 B/op	   11288 allocs/op
BenchmarkOverlaySmallPolygons-32            	   71020	     16980 ns/op	   16144 B/op	     204 allocs/op
BenchmarkOverlaySmallPolygons-32            	   70630	     16608 ns/op	   16144 B/op	     204 allocs/op
BenchmarkOverlaySmallPolygons-32            	   70636	     16713 ns/op	   16144 B/op	     204 allocs/op
BenchmarkOverlaySmallPolygons-32            	   72192	     16525 ns/op	   16144 B/op	     204 allocs/op
BenchmarkOverlaySmallPolygons-32            	   74869	     16483 ns/op	   16144 B/op	     204 allocs/op
BenchmarkOverlaySmallPolygons-32            	   72747	     16704 ns/op	   16144 B/op	     204 allocs/op
BenchmarkOverlaySmallPolygons-32            	   69486	     17058 ns/op	   16144 B/op	     204 allocs/op
BenchmarkOverlaySmallPolygons-32            	   70868	     16899 ns/op	   16144 B/op	     204 allocs/op
BenchmarkOverlaySmallPolygons-32            	   73621	     16450 ns/op	   16144 B/op	     204 allocs/op
BenchmarkOverlaySmallPolygons-32            	   71370	     16612 ns/op	   16144 B/op	     204 allocs/op
BenchmarkIntersection/ngon/n=64-32          	  117578	     10229 ns/op	    3039 B/op	       5 allocs/op
BenchmarkIntersection/ngon/n=64-32          	  115191	     10388 ns/op	    3039 B/op	       5 allocs/op
BenchmarkIntersection/ngon/n=64-32          	  117187	     10270 ns/op	    3039 B/op	       5 allocs/op
BenchmarkIntersection/ngon/n=64-32          	  117247	     10123 ns/op	    3039 B/op	       5 allocs/op
BenchmarkIntersection/ngon/n=64-32          	  119535	     10203 ns/op	    3039 B/op	       5 allocs/op
BenchmarkIntersection/ngon/n=64-32          	  113473	     10148 ns/op	    3039 B/op	       5 allocs/op
BenchmarkIntersection/ngon/n=64-32          	  119120	     10087 ns/op	    3039 B/op	       5 allocs/op
BenchmarkIntersection/ngon/n=64-32          	  111891	     10202 ns/op	    3039 B/op	       5 allocs/op
BenchmarkIntersection/ngon/n=64-32          	  118378	     10262 ns/op	    3039 B/op	       5 allocs/op
BenchmarkIntersection/ngon/n=64-32          	  114825	     10273 ns/op	    3039 B/op	       5 allocs/op
BenchmarkIntersection/ngon/n=1024-32        	     626	   1904528 ns/op	   47290 B/op	       5 allocs/op
BenchmarkIntersection/ngon/n=1024-32        	     627	   1887376 ns/op	   47318 B/op	       5 allocs/op
BenchmarkIntersection/ngon/n=1024-32        	     630	   1896659 ns/op	   47345 B/op	       5 allocs/op
BenchmarkIntersection/ngon/n=1024-32        	     630	   1905109 ns/op	   47374 B/op	       5 allocs/op
BenchmarkIntersection/ngon/n=1024-32        	     620	   1908757 ns/op	   47320 B/op	       5 allocs/op
BenchmarkIntersection/ngon/n=1024-32        	     632	   1881441 ns/op	   47318 B/op	       5 allocs/op
BenchmarkIntersection/ngon/n=1024-32        	     624	   1917140 ns/op	   47319 B/op	       5 allocs/op
BenchmarkIntersection/ngon/n=1024-32        	     640	   1931770 ns/op	   47371 B/op	       5 allocs/op
BenchmarkIntersection/ngon/n=1024-32        	     630	   1927813 ns/op	   47346 B/op	       5 allocs/op
BenchmarkIntersection/ngon/n=1024-32        	     624	   1904769 ns/op	   47377 B/op	       5 allocs/op
BenchmarkIntersection/ngon/n=8192-32        	       8	 134134864 ns/op	  781644 B/op	      12 allocs/op
BenchmarkIntersection/ngon/n=8192-32        	       8	 131412494 ns/op	  781644 B/op	      12 allocs/op
BenchmarkIntersection/ngon/n=8192-32        	       8	 132834612 ns/op	  781656 B/op	      12 allocs/op
BenchmarkIntersection/ngon/n=8192-32        	       8	 132827992 ns/op	  781644 B/op	      12 allocs/op
BenchmarkIntersection/ngon/n=8192-32        	       8	 134194997 ns/op	  781656 B/op	      12 allocs/op
BenchmarkIntersection/ngon/n=8192-32        	       8	 129240209 ns/op	  781656 B/op	      12 allocs/op
BenchmarkIntersection/ngon/n=8192-32        	       8	 127804816 ns/op	  781656 B/op	      12 allocs/op
BenchmarkIntersection/ngon/n=8192-32        	       8	 129594300 ns/op	  781644 B/op	      12 allocs/op
BenchmarkIntersection/ngon/n=8192-32        	       8	 131201584 ns/op	  781644 B/op	      12 allocs/op
BenchmarkIntersection/ngon/n=8192-32        	       8	 131209013 ns/op	  781644 B/op	      12 allocs/op
BenchmarkIntersection/star/n=64-32          	    3324	    359780 ns/op	  256764 B/op	    2067 allocs/op
BenchmarkIntersection/star/n=64-32          	    3306	    358681 ns/op	  256771 B/op	    2067 allocs/op
BenchmarkIntersection/star/n=64-32          	    3103	    351245 ns/op	  256752 B/op	    2067 allocs/op
BenchmarkIntersection/star/n=64-32          	    3298	    351648 ns/op	  256791 B/op	    2067 allocs/op
BenchmarkIntersection/star/n=64-32          	    3590	    352812 ns/op	  256770 B/op	    2067 allocs/op
BenchmarkIntersection/star/n=64-32          	    3451	    352953 ns/op	  256760 B/op	    2067 allocs/op
BenchmarkIntersection/star/n=64-32          	    3394	    351835 ns/op	  256761 B/op	    2067 allocs/op
BenchmarkIntersection/star/n=64-32          	    3291	    358255 ns/op	  256782 B/op	    2067 allocs/op
BenchmarkIntersection/star/n=64-32          	    3344	    358152 ns/op	  256764 B/op	    2067 allocs/op
BenchmarkIntersection/star/n=64-32          	    3349	    355993 ns/op	  256773 B/op	    2067 allocs/op
BenchmarkIntersection/star/n=1024-32        	       4	 255200140 ns/op	36285660 B/op	  287492 allocs/op
BenchmarkIntersection/star/n=1024-32        	       4	 256602523 ns/op	36187920 B/op	  287480 allocs/op
BenchmarkIntersection/star/n=1024-32        	       4	 257996544 ns/op	36323064 B/op	  287492 allocs/op
BenchmarkIntersection/star/n=1024-32        	       4	 254871121 ns/op	36302412 B/op	  287491 allocs/op
BenchmarkIntersection/star/n=1024-32        	       4	 257323488 ns/op	36339312 B/op	  287494 allocs/op
BenchmarkIntersection/star/n=1024-32        	       4	 257048090 ns/op	36224144 B/op	  287487 allocs/op
BenchmarkIntersection/star/n=1024-32        	       4	 258102720 ns/op	36308016 B/op	  287487 allocs/op
BenchmarkIntersection/star/n=1024-32        	       4	 252601890 ns/op	36208060 B/op	  287486 allocs/op
BenchmarkIntersection/star/n=1024-32        	       4	 251064857 ns/op	36242552 B/op	  287484 allocs/op
BenchmarkIntersection/star/n=1024-32        	       4	 251894226 ns/op	36268168 B/op	  287491 allocs/op
BenchmarkUnion/ngon/n=64-32                 	    6336	    184588 ns/op	  180196 B/op	    1137 allocs/op
BenchmarkUnion/ngon/n=64-32                 	    6087	    184532 ns/op	  180196 B/op	    1137 allocs/op
BenchmarkUnion/ngon/n=64-32                 	    6531	    185559 ns/op	  180195 B/op	    1137 allocs/op
BenchmarkUnion/ngon/n=64-32                 	    6729	    186230 ns/op	  180196 B/op	    1137 allocs/op
BenchmarkUnion/ngon/n=64-32                 	    5692	    184748 ns/op	  180196 B/op	    1137 allocs/op
BenchmarkUnion/ngon/n=64-32                 	    6522	    187717 ns/op	  180196 B/op	    1137 allocs/op
BenchmarkUnion/ngon/n=64-32                 	    6594	    195042 ns/op	  180196 B/op	    1137 allocs/op
BenchmarkUnion/ngon/n=64-32                 	    6043	    191042 ns/op	  180196 B/op	    1137 allocs/op
BenchmarkUnion/ngon/n=64-32                 	    6397	    190881 ns/op	  180196 B/op	    1137 allocs/op
BenchmarkUnion/ngon/n=64-32                 	    6194	    190787 ns/op	  180196 B/op	    1137 allocs/op
BenchmarkUnion/ngon/n=1024-32               	     429	   2737698 ns/op	 2846153 B/op	   15672 allocs/op
BenchmarkUnion/ngon/n=1024-32               	     434	   2868198 ns/op	 2846152 B/op	   15672 allocs/op
BenchmarkUnion/ngon/n=1024-32               	     432	   2879888 ns/op	 2846151 B/op	   15672 allocs/op
BenchmarkUnion/ngon/n=1024-32               	     415	   2879429 ns/op	 2846157 B/op	   15672 allocs/op
